2026-09-08T23:55:21+0200  wow-tbc-server-tab-before-refresh.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-08T23:55:21+0200  wow-tbc-server-tab-after-refresh.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-08T23:55:21+0200  wow-tbc-console-tab-before-send.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-08T23:55:25+0200  wow-tbc-console-tab-after-send.png  containers alive at capture: ['tbc-db', 'tbc-realmd', 'tbc-mangosd']
2026-09-08T23:56:10+0200  wow-vanilla-server-tab-before-refresh.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-08T23:56:11+0200  wow-vanilla-server-tab-after-refresh.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-08T23:56:11+0200  wow-vanilla-console-tab-before-send.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-08T23:56:14+0200  wow-vanilla-console-tab-after-send.png  containers alive at capture: ['vanilla-db', 'vanilla-realmd', 'vanilla-mangosd']
2026-09-08T23:57:55+0200  wow-tortoise-server-tab-before-refresh.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
2026-09-08T23:57:55+0200  wow-tortoise-server-tab-after-refresh.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
2026-09-08T23:57:56+0200  wow-tortoise-console-tab-before-send.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
2026-09-08T23:57:59+0200  wow-tortoise-console-tab-after-send.png  containers alive at capture: ['tortoise-db', 'tortoise-realmd', 'tortoise-mangosd']
